,author,date,text,upvotes
12,Hex Gorilla,Dec 10,"It is unlikely that AI will kill the art industry. While AI and machine learning algorithms have become increasingly sophisticated and capable of creating artistic works, they are not yet able to fully replicate the creativity and individuality that are characteristic of human art. Furthermore, the art industry is not solely focused on the creation of artworks, but also includes the curation, preservation, and appreciation of art. These activities are not easily replicable by AI and are likely to continue to be an important part of the art industry. Additionally, many people value the uniqueness… (more)",
13,Andre Szykier,Aug 12,"With new models, any artist can be recognized and then modified, like the deep fake examples. A new form of provenance is needed to prove authentication. Keep watching how new art forms are adopted, Sin City for example.Sin city… (more)",1
14,Ridhi Kumari,Oct 22,"In a world where artificial intelligence is increasingly becoming a part of our everyday lives, it was only a matter of time before someone asked the question: will AI kill the art industry? There are those who believe that AI will indeed spell the death of art as we know it. They argue that with machines becoming ever more efficient at creating realistic images and videos, there will be no need for human artists in the future.Others believe that AI could actually help to boost the art industry, by giving artists new tools to create their work. They argue that AI can never replace the creativit… (more)",1
15,Quorramember,Oct 29,"Maybe one day artificial intelligence can perform some actions in visual art, music or in other art branch and make it easier for artists to realize their thoughts and generate ideas, but it can never replace human creativity and art will never be killed. In many cases, even the possession of some tools of artificial intelligence cannot have a role in creating an art, because art is based on human emotions and feelings. For example, in painting, people invest their whole soul, reflect the energy received from the outer world, reflect their thoughts and ideas, which force people to immerse them… (more)",1
16,Lilian Ngugi,Dec 1,"Not really. AI is getting better and better. However, we still need human guidance to create the best. It also requires human eye to direct art. AI will just change the thought and creative process we put into art. It will eliminate some parts of art creation and eventually make art making a simple process.",
17,Ryder,Dec 2,"I love this question. So topical and fearmonger-y. I am of the genuine belief, as a full time professional artist, that AI will not kill the art industry. It would take a hell of a lot to outmode human creativity. It’s older than language, you know. Follow this logical conclusion with me: you’ve seen AI images like this, no?Eesh, awful right? Still incredibly advanced and the tech will only get better. But why does this fall within the uncanny valley rather than amongst other women holding cactuses on stock photo sites? Reference. AI relies on reference. It is not capable of deep, abstract though… (more)",
18,Sandeep Bandyopadhyay,Dec 16,"It is unlikely that artificial intelligence (AI) will completely kill the art industry. While AI can be used to create art or assist in the creative process, it is unlikely to replace the role of human artists entirely. Art is a form of expression that is deeply connected to the human experience and often reflects the emotions, thoughts, and experiences of the artist. It is difficult to imagine that AI could completely capture and replicate these complex and nuanced aspects of the human experience.However, it is possible that AI could change the way that the art industry operates, just as it h… (more)",
19,Hailey,Dec 17,"Ehh, in my opinion because sometimes they create very unique things and sometimes the things they make are just diformed.",1
20,Lokesh Ardhaveeti,Tue,"There is some concern that the use of artificial intelligence (AI) in the art industry could potentially lead to a decline in the demand for human-made art. However, it is important to note that AI is still in the early stages of development and the impact it will have on the art industry is not yet fully understood. AI has been used to create art in a variety of forms, such as music, visual arts, and writing. Some argue that AI-generated art can be seen as a form of collaboration between humans and technology, and that it can open up new opportunities for creative expression. While AI-generate… (more)",1
21,Crystal Beshara,Dec 16,"In a world where artificial intelligence (A.I.) technology is rapidly advancing, this topic has often come up in many of my conversations with other artists. After all, A.I. algorithms can already generate realistic-looking paintings and compose music with little to no guidance from humans. While the technology has made tremendous progress in recent years, there are still some things that only a human artist can do. Here are some of my thoughts on the subject. The Emotional Element of Art Cannot be Replicated by Machines First and foremost, A.I. algorithms simply cannot replicate the emotional e… (more)",
22,Milena Angelova,Dec 16,"Artificial intelligence has the potential to revolutionize many industries, including the art industry. There have been numerous examples of AI-generated art, such as paintings, music, and even poetry, that have garnered attention and debate about the role of AI in the arts. Some people believe that AI will eventually replace human artists, leading to the death of the art industry as we know it. Others argue that AI will simply augment the creative process and bring new possibilities to the table. So, will AI kill the art industry? On one hand, AI has the ability to create highly realistic and … (more)",
23,Hamad Ali Shah,Dec 19,"LET’S SETTLE THIS DEBATE HERE BY ASKING THE SAME QUESTION FROM CHATGPT THE LATEST TREND IN A.I HERE IS IT’S ANSWERANS: It is unlikely that artificial intelligence (AI) will completely replace the art industry. While AI technology has advanced significantly in recent years and has been used to create art in various forms, it is unlikely to completely replace the creativity and originality of human artists. AI can be used to create art by generating images, music, or other forms of media using algorithms, but the resulting works are often based on patterns and data that have been fed into the syste… (more)",
24,Rida Malik,Dec 21,"AI will never kill the art industry because people don’t make art primarily for remuneration. As long as humans desire creative expression art will exist. Also, an artist sells art because of their personal story. People like knowing histories of artists; what drove them to draw or paint a certain piece, why do they have such affection for a certain art form, a specific color, a mood, a feeling… AI can never replace that. AI market can of course be successful but it will never beat human art.",
25,The Lost Boy,Dec 23,"No, it's just become one of the art styles, but it's based on how people use it. This is one of the most interesting parts of self-learning artificial intelligence. In general, if your whole art is just to draw a painting/drawing without having the soul and power of emotions, then it is going to take your place.",
26,Quavohuncho,Dec 26,"I’m someone who work at tech industry but I’m also someone who respect and knowing the value of art. The AI of art is created with machine learning and trained with multiple various art data & style from various artists, it’s indeed inappropriate to steal someone’s art style, it could kill the original art style that the artist made with their own hand and hard work. It’s not ethical to calling AI as an ARTIST because it’s not the actual artist, law always following current technology because tech is something that grow rapidly and fast, law couldn’t made a restriction towards technology that … (more)",
27,Pro Technical,Jan 1,Follow,1
28,Benjamin Lassmann,Jan 3,"That’s like asking if motor vehicles would kill the transportation industry. Absolutely not. But if you aren’t prepared to adapt, you may get left behind with nothing but horse poop to show for your efforts.",
29,Lidea Roy,Jan 3,"I honestly do not think so, as at the end AI is only human made, sure it can bring up exclusive and never seen before pieces of art but it can only do so only if human artists have created pieces of art at least once. Imagine, every other artist stops creating anything at all, there obviously would be a time when the AI would start creating something repetitive in nature. What I think is that, it only acts as a side help for us creatives, it is no threat to anybody. Even if one has to make the AI work should have some background knowledge about the said field or else the results would just be em… (more)",1
30,Harshit Bhadouriya,Jan 6,"It is wrong that AI will completely kill the art industry, but it may change the way that art is created and consumed. Some people are concerned that as AI becomes more advanced, it will be able to create high-quality works of art that are indistinguishable from those created by humans. This could potentially lead to a decrease in demand for human-created art, which would have an impact on the industry. However, it is important to remember that art is a form of expression, and many people will continue to value the unique perspective and personal touch that only a human artist can bring to the… (more)",
31,Adii Khan,Jan 6,"It is unlikely that AI will completely kill the art industry, but it may change the way that art is created and consumed. Some people are concerned that as AI technology improves, it will be able to create artwork that is indistinguishable from human-created art, which could potentially make it difficult for human artists to compete. However, it is also possible that AI will simply be used as a tool to assist artists in their creative process, or that it will create new opportunities for artists to experiment and create in new ways. Ultimately, the impact of AI on the art industry will depend … (more)",
32,Nirnjan Kumar,Jan 7,"It is unlikely that artificial intelligence (AI) will completely eliminate the art industry. While AI and other technological advances may change the way that art is created, exhibited, and consumed, it is unlikely to completely replace the human element of art. AI and other technologies can be used to create art in a variety of ways, such as through the use of algorithms to generate images or music. However, these works are often created with a specific set of parameters in mind and may not have the same depth and complexity as works created by humans. Moreover, many people value the unique per… (more)",
33,Ci-Tech S,Jan 7,Follow,
34,Mayoi,Jan 9,I think it will improve the art industry massively as traditional workflows can be sped up so much while still maintaining very high quality outputs for the end result.,
35,Nilesh Yadav,Jan 10,"AI has the potential to open up new opportunities for artists and art buyers, such as AI-generated art and art-buying platforms using machine learning algorithms. However, it could also make it harder for human artists to compete with AI in terms of speed and cost. Overall, it's unlikely AI will kill the art industry but will change the way it operates.",
36,Vali Neagu,Jan 11,"AI technology has the potential to change the art industry in various ways, but it is unlikely to kill the art industry as a whole. Here are a few reasons why:Artistic Expression: The art industry is not just about creating visually pleasing images, it is also about human expression, emotion, and meaning. While AI technology can create visually interesting images, it may lack the emotional, personal, and cultural context that makes traditional art valuable.Creativity: Even though AI can create impressive images, it still lacks the capability to be creative in the same sense that human artist a… (more)",1
37,Wealth Mafia,Jan 12,"Artificial intelligence (AI) is revolutionizing the way digital art is created. From creating images and videos to composing music and writing poetry, AI can be used to generate art in a variety of ways. AI algorithms are being used by artists, designers, and creators to create stunning digital works of art that could not have been made with traditional methods. AI has opened up new possibilities for digital art design by enabling more complex visual designs, faster iteration times, and more intricate patterns. As AI technology continues to advance, it will become an increasingly important too… (more)",
38,Abc,Jan 12,"It is unlikely that AI will kill the art industry. While AI can be used to create art, it is not likely to replace human artists. AI can be used as a tool to assist artists in their work, but the artistic vision and creativity of humans cannot be replicated by machines. Additionally, the art industry is not just about the creation of art, but also the appreciation and curation of it, which are areas where AI is not likely to have as much of an impact.",
39,EIA Noida,Jan 12,"AI has the potential to revolutionize the art industry, however, it is not the end of it. AI technology has been used in various fields and industries to create works of art ranging from music to paintings. However, despite its capacity for automation and productivity, AI will never replace the creativity and emotion that a human artist can bring to their work. While AI may be able to produce works of art, there are still some things that machines cannot replicate - namely, the emotion and soul that comes with a handmade piece of artwork. The beauty of an artwork created by a human artist is u… (more)",
40,Affy,Jan 13,It may not kill it in short term but surely it will enchance art industry upto a certain extent.,
41,Mm Malik,Jan 13,"Artificial Intelligence (AI) has the potential to change many industries, including the art industry. However, it is unlikely that AI will completely kill the art industry. On one hand, AI has the potential to automate some aspects of the art industry, such as the creation of digital art, animation and video game characters, which could lead to some job loss in those areas. Additionally, AI-generated art is becoming increasingly sophisticated, which could lead to more competition for artists in certain fields. On the other hand, AI is also opening up new opportunities in the art industry. For ex… (more)",
42,Shitalkumar Gujale,Jan 16,"The art market will not be destroyed by AI, but it has the capacity to influence it. A technology that may be utilised to improve the creative process and increase accessibility of art is artificial intelligence. However, it is important to consider the potential negative effects of AI on the industry and to ensure that human creativity and emotional connection to art is valued and preserved.",
43,Imran Mansury,Jan 16,"When something as powerful as AI makes its mark in any field there will be disruptions for sure.Art is a very creative space. It is not that AI can't make unique art pieces similar to what humans can put together. The difference lies in the accessibility. AI can make countless such art works whereas humans do and will have limitations to the count. This makes art developed by humans more attractive.Also,humans have a deep pool of memories and imagination at work based on their varied past experiences.These thoughts when mixed with some great skills give rise to phenomenal results.The human tou… (more)",1
44,Amrita Kumari,Jan 19,"Although it is doubtful that AI would entirely destroy the art market, it may alter how art is produced and appreciated. Artificial intelligence (AI) can be used to create new types of art and automate some steps in the creation process. AI can also be used to comprehend and analyse art, which may result in fresh perspectives on and appreciation for art. AI probably won't ever be able to perfectly recreate the distinct perspectives and experiences that human artists bring to their work, though, as art is a reflection of human culture and emotion.",
45,MONSTER10,Jan 20,"Al could potentially impact the art industry but it's uncertain whether it will “kill""it. The efforts will depend on how itis adopted and use",
46,Ahmed,Jan 20,"Artificial Intelligence (AI) has the potential to change the art industry in many ways, from the way art is created to the way it is consumed and appreciated. However, it is unlikely that AI will ""kill"" the art industry. Art created by AI is still a relatively new field and is not yet able to fully replicate the creativity and emotional depth of human-created art. Many experts believe that AI-generated art will complement, rather than replace, human-created art. AI can also be used to enhance the art-making process, by assisting artists with tasks such as image recognition, digital painting, and… (more)",1
47,Hare Preya,Jan 22,"It is unlikely that AI will completely kill the art industry as it cannot replace human artists' personal expression and emotional connection. AI-generated art is still considered a niche market, and many art enthusiasts prefer works created by human artists. AI can enhance the art industry by providing new tools for artists to use, but it is unlikely to replace human artists entirely.",
48,Karanth's Space,Jan 22,"It is unlikely that AI will ""kill"" the art industry, but it may change the way art is created, marketed and consumed. AI can be used to generate new forms of art, and also to assist in the creation of traditional art forms. One of the most visible ways in which AI is impacting the art industry is through the use of AI-generated art. AI algorithms can be trained on existing artworks to generate new images, videos, and other forms of art. These AI-generated artworks are being exhibited in galleries and sold at high prices, indicating that there is a market for this type of art. On the other hand, … (more)",
49,Vinoth Kumar,Mon,"It is unlikely that AI will kill the art industry. While AI-generated art is becoming increasingly sophisticated, it still lacks the emotional and creative nuances that human artists bring to their work. Additionally, there will likely always be a demand for original, human-created art. However, it's possible that AI could change the way art is created and consumed, much like photography and digital art have in the past.",
50,James Lucas,Tue,"Artificial intelligence (AI) has the potential to significantly impact the art industry, but it is unlikely to kill it entirely. AI can be used to create art, but it cannot replace the creativity, emotion, and personal expression that human artists bring to their work. One way that AI is already impacting the art industry is through the use of algorithms to generate digital art. This can include creating unique images, videos, and even music. Some artists are also using AI to assist in their creative process, such as using machine learning to generate new color palettes or compositional layouts. … (more)",
51,Derys Lyttle,15h,"Absolutely not. Nothing can ever replace the individuals intention, interpretation and execution. However: it might make Authenticity harder to discern for the general population. This could have both negative and positive effects on value and sale ability.",
52,Sasha Prylypska,Aug 15,"I don’t think it will. When it comes to art, there is a huge difference in admiring something a human has made and something that was generated by AI",
53,Felix Emanon,Nov 23,"AI is to art what fast food is to the culinary world, just crap, run of the mill, dime a dozen that can be done by anyone. REAL art requires a real artist.",
54,Pedro Rocheteau,Dec 8,"It depends on how you look at it, and where your values stand. If you think art should be less elitist, more accessible and overall democratized, then the “AI revolution” would be considered a good thing for the industry. But we would have to deconstruct “industry” too. Many people still think artists are some kind of divine entities, and that art is and should be something “sacred” - I don’t think AI will help perpetuate those ideals at all. This is a really nuanced topic though, especially since we’re speaking about something as impactful as art. Everyone has a unique relationship with art, and… (more)",
55,MEMATRON,Dec 22,Put it this way. If you’ve used Photoshop within the last 15 years you’ve use A.I. in your work. The problem isn’t if A.I. will ruin art. The people that need to be concerned are all of the talentless hacks that rely on A.I. to do all of the work for them. I’m not defending it and I’m not attacking it. I’m saying that if you can’t make art without the aid of a computer then you’re not really an artist. You’re as much a tool as the tools you use. PUT THAT IN YOUR DATABASE. :),1
56,Aditya,Dec 23,"It is unlikely that AI will completely kill the art industry, but it may change the way art is created and consumed. AI has the potential to revolutionize the art world by enabling the creation of art that is more realistic, expressive, and varied than what is possible with traditional methods. However, it is important to note that AI is a tool, and like any tool, it can be used in a variety of ways. Some artists may choose to incorporate AI into their work, while others may prefer to work with traditional methods. It is also possible that AI may be used to augment the work of artists, rather t… (more)",
57,Priyanka Sahu,Dec 24,"Artificial intelligence (AI) is a type of technology that can be used to do things that would normally require human intelligence. Some people think that AI might one day be able to do things that are currently done by people in the art industry, such as creating art or deciding what art should be shown in a museum. However, it is unlikely that AI will be able to completely replace the art industry. This is because many people value art for the way it can express emotions and ideas, and AI cannot do this in the same way. Additionally, there are many other factors that contribute to the value o… (more)",
58,Mika Vehns,Jan 2,"While AI has the potential to revolutionize and disrupt various industries, it is unlikely that it will completely kill the art industry. AI technology can be used to create art pieces or assist artists in their creative process, but it cannot fully replicate the unique perspective and emotion that humans bring to their art. There will always be a demand for human creativity and expression, and the art industry will continue to evolve and adapt to new technologies. However, it is possible that AI may change the way art is produced and consumed, potentially affecting certain job markets within … (more)",
59,SKULL艾 CRUSHER,Jan 2,"There are a number of ways that AI could potentially impact the art industryAI could be used to create new forms of art that would not be possible without the use of technology. For example, some artists are using AI to generate music, paintings, and other forms of visual art.AI could be used to automate certain aspects of the art industry, such as the production and distribution of art. This could potentially make the process of creating and selling art more efficient, but it could also lead to job displacement in certain areas of the industry.AI could be used to analyze and understand art in… (more)",
60,Wallpapers 8k,Jan 5,"It is difficult to predict the exact impact that artificial intelligence (AI) will have on the art industry in the future. While AI has the potential to revolutionise various aspects of the art industry, it is unlikely to completely replace human artists. Read More….… (more)",
61,Aditya Pandey,Jan 7,"It is unlikely that artificial intelligence (AI) will completely replace the art industry. While AI has been used to create some impressive works of art, such as music and visual art, it is unlikely to completely replace the creativity and human touch that are central to the art world. There is also the question of whether AI-generated art can truly be considered ""art"" in the same way that human-created art is. Some people believe that the unique perspective and emotion that humans bring to their art is an essential part of what makes it meaningful and valuable. That being said, it is possible t… (more)",
62,Manish Kumar,Jan 10,"I think It is unlikely that AI will kill the art industry, but it may change the way art is created, distributed, and consumed.On the one hand, AI has the potential to enhance the art-making process by allowing artists to create new types of works that would be difficult or impossible to make by hand. For example, AI algorithms can be used to generate unique paintings, sculptures, and even music compositions. This can open up new opportunities for artists and make art more accessible to a wider audience.On the other hand, the use of AI in art also raises questions about the definition and valu… (more)",
63,Ehtsham ul Haq,Jan 15,"It is unlikely that AI will kill the art industry, but it may change the way it operates. AI has the potential to assist artists in creating new and unique works, as well as help to speed up and automate certain aspects of the creative process. However, it is important to note that AI-generated art is not the same as human-generated art, and it is likely that the value placed on human-created art will always be different than that of AI-generated art. Additionally, AI can also be used in the art industry to help with tasks such as conserving and restoring artworks, authenticating art, and iden… (more)",
64,Sebastyan Papp,Jan 18,"There is no doubt that artificial intelligence (AI) is rapidly evolving and growing more sophisticated every day. With its ability to learn, grow, and adapt, AI has the potential to completely change the way we live and work. This includes the art industry, which has already begun to feel the impact of AI. Some experts believe that AI will eventually replace human artists altogether, as it will be able to create perfectly realistic artworks that are indistinguishable from those created by humans. Others believe that AI will simply augment the art industry, assisting human artists in creating ne… (more)",
65,Pradox,Jan 21,"AI has the potential to change the way art is created, exhibited, and consumed, but it is unlikely to completely replace the art industry. AI-generated art has been used to create unique and interesting pieces, but it is still largely considered a new and experimental medium. Many people still value the creativity, skill, and human touch that goes into traditional art forms. Moreover, the art industry is not just about creating art, but also includes the curation, promotion, and selling of art. These aspects of the industry are likely to continue to be driven by human creativity, expertise, and … (more)",
